Geocodigo,Município,Natura_Maior,Solo,Risco_Plantio_Perc,Latitude,Longitude
5105507,Vila Bela da Santíssima Trindade,Mamona,AD1,30.0,-15.188537556580712,-59.989917333882616
5105580,Marcelândia,Mamona,AD1,27.5,-10.885870137409388,-54.0522182474382
5105606,Matupá,Mamona,AD1,22.5,-10.011320422121655,-54.36021212780295
5105622,Mirassol D'Oeste,Mamona,AD1,30.0,-15.653746295158495,-58.05461002647589
5105903,Nobres,Mamona,AD1,25.0,-14.36800642157308,-55.791882024809304
5106000,Nortelândia,Mamona,AD1,25.0,-14.347373125377375,-56.719525099421254
5106109,Nossa Senhora do Livramento,Mamona,AD1,30.0,-15.835690454124029,-56.52592423095011
5106158,Nova Bandeirantes,Mamona,AD1,27.5,-9.76786998978102,-58.07624325527663
5106174,Nova Nazaré,Mamona,AD1,27.5,-14.154976457050411,-51.888995777784864
5106182,Nova Lacerda,Mamona,AD1,25.0,-14.300697200780238,-59.77121349359812
5106190,Nova Santa Helena,Mamona,AD1,27.5,-10.919955859082066,-54.900519294695805
5106208,Nova Brasilândia,Mamona,AD1,23.333333333333332,-14.787241571667412,-55.044530809025865
5106216,Nova Canaã do Norte,Mamona,AD1,27.5,-10.699991137989885,-56.04185160002566
5106224,Nova Mutum,Mamona,AD1,25.0,-13.62962429362364,-56.10480403911824
5106232,Nova Olímpia,Mamona,AD1,30.0,-14.782811850711196,-57.40001594458996
5106240,Nova Ubiratã,Mamona,AD1,27.5,-12.98979882810232,-54.765707169972
5106257,Nova Xavantina,Mamona,AD1,27.5,-14.592449845850112,-52.40893965232345
5106265,Novo Mundo,Mamona,AD1,27.5,-9.752258934914055,-55.40181719919672
5106273,Novo Horizonte do Norte,Mamona,AD1,27.5,-11.386161928838108,-57.30851414790727
5106281,Novo São Joaquim,Mamona,AD1,23.333333333333332,-15.078003888339184,-53.24003042515156
5106299,Paranaita,Mamona,AD1,27.5,-9.59264968629701,-56.68437120724953
5106307,Paranatinga,Mamona,AD1,23.333333333333332,-13.67475852123755,-54.107903964724706
5106315,Novo Santo Antônio,Mamona,AD1,30.0,-12.315490960591337,-50.888336749126644
5106372,Pedra Preta,Mamona,AD1,26.666666666666668,-16.79953563607254,-54.25556741776991
5106422,Peixoto de Azevedo,Mamona,AD1,27.5,-10.147406216685331,-53.58619500134326
5106455,Planalto da Serra,Mamona,AD1,23.333333333333332,-14.589411301906734,-54.67267215752078
5106505,Poconé,Mamona,AD1,25.0,-16.78297121493026,-56.94738122201745
5106653,Pontal do Araguaia,Mamona,AD1,25.0,-15.931584173840301,-52.721043496620275
